id,title,body,tags
269352,Patch vs. Hotfix vs. Maintenance Release vs. Service Pack vs,<p>When you are somewhere between version 1 and version 2 what do you do to maintain your software?</p> <p>The terms Patch Hotfix Maintenance Release Service Pack and others are all blurry from my point of view with different definitions depending on who you talk to.</p> <p>What do you call your incremental maintenance efforts between releases?</p>,maintenance|patch|servicepacks|hotfix
510315,How should I implement user membership in my ASP.NET MVC site?,<p>I'm creating an ASP.NET MVC site and I need to implement login and membership functionality. </p> <p>Is this something where I roll my own? I already have a members table in my database should I create a username and password hash field and just check against it? What about keeping the user logged in with a cookie that expires? </p> <p>Is this an instance when you would use ASP.NET's built in Membership service? </p> <p>ASP.NET MVC neophyte seeks help.</p>,asp.net-mvc|login|asp.net-membership|membership
743675,WCF Error The communication object System.ServiceModel.Channels.ServiceChanne cannot be used for communication because it is in the Faulted state,<p>We get </p> <p> The communication object System.ServiceModel.Channels.ServiceChannel cannot be used for communication because it is in the Faulted state. </p> <p>message when we close the application. Can anyone tell me how to fix it? We know it is communication channel trying to close but it is not able to close due to service not available or in faulted state.</p> <p>All I can say is when the service is not available but the Garbage collector trying to destroy the object the communication objects is calling its service Close function. There we get exception.</p>,c#|wcf
7208062,Node.JS Not working on the internet,<p>i have the basic webserver hello world app for nodejs on windows and it works on localhost. But when i test it from the internet it cannot connect. I set up port forwarding in my netgear router. Am i missing a step here to make my nodejs server visible to the outside world?</p> <p>Thanks.</p> <pre><code>var http = require('http'); http.createServer(function (req res) { res.writeHead(200 {'Content-Type': 'text/plain'}); res.end('Hello World\n'); }).listen(1337 127.0.0.1 ); console.log('Server running at http://127.0.0.1:1337/'); </code></pre>,porting|node.js|forward-compatibility
703871,QuickGraph Dijkstra example,<p>I have an <code>AdjacencyGraph&lt;string Edge&lt;string&gt;&gt;</code> which I would like to run <code>AlgorithmExtensions.ShortestPathsDijkstra</code> on but the QuickGraph documentation isn't the best.</p> <p>Does anyone have an example I can follow?</p> <p>Everything I found on on Google used an observer which the AlgorithmExtension doesn't require.</p>,c#|algorithm|shortest-path|quickgraph
64977,How do you create SQL Server 2005 stored procedure templates in SQL Server 2005 Management Studio?,<p>How do you create SQL Server 2005 stored procedure templates in SQL Server 2005 Management Studio?</p>,sql-server|sql-server-2005|stored-procedures
512644,How do I include a custom row at the end of a DataGrid in Silverlight?,<p>I have a <code>DataGrid</code> in my Silverlight application and it works nicely adding a row or removing a row as I manipulate the <code>ItemsSource</code> collection. However I want there to be an additional row or control that always appears after the last data row.</p> <p>I can get the additional control to appear after the last row using a <code>ControlTemplate</code> and setting the RowsPresenter row to Auto height but this means the rows never scroll when the render area gets too small. However if I change the RowsPresenter row height to Star the rows scroll but the additional control appears pinned to the bottom of the data grid rather than to the bottom of the last row.</p> <p>Is there a way I can have the Star height behavior on the RowsPresenter while still having my control appear the way I want?</p> <p>My current thinking is that I need to somehow use the LoadingRow event to find the position of the last row and use a Canvas or similar to place my control in the appropriate location.</p> <p>Thoughts?</p> <p>Thanks in advance for the help.</p> <h3>Update</h3> <p>I also asked a question (and ultimately answered) about pinning one control below another which could be used to fix this issue if you don't want the custom row to scroll with the rest of the rows (such as in my case where I wanted another datagrid header row to show totals and float over the other rows).</p> <p><a href= http://stackoverflow.com/questions/849768/how-do-i-pin-one-control-below-another-in-silverlight >http://stackoverflow.com/questions/849768/how-do-i-pin-one-control-below-another-in-silverlight</a></p>,c#|xaml|datagrid|silverlight-2.0|controltemplates
145025,WCF Service authorization patterns,<p>I'm implementing a secure WCF service. Authentication is done using username / password or Windows credentials. The service is hosted in a Windows Service process. Now I'm trying to find out the best way to implement <em>authorization</em> for each service operation.</p> <p>For example consider the following method:</p> <pre><code>public EntityInfo GetEntityInfo(string entityId); </code></pre> <p>As you may know in WCF there is an OperationContext object from which you can retrieve the security credentials passed in by the caller/client. Now<em>authentication</em> would have already finished by the time the first line in the method is called. However how do we implement authorization if the decision depends on the input data itself? For example in the above case say 'admin' users(whose permissions etc are stored in a database) are allowed to get entity info and other users should not be allowed... where do we put the authorization checks?</p> <p>Say we put it in the first line of the method like so:</p> <pre><code>CheckAccessPermission(PermissionType.GetEntity user entityId) //user is pulled from the current OperationContext </code></pre> <p>Now there are a couple of questions:</p> <ol> <li><p>Do we validate the entityId (for example check null / empty value etc) BEFORE the authorization check or INSIDE the authorization check? In other words if authorization checks should be included in every method is that a good pattern? Which should happen first - argument validation or authorization?</p></li> <li><p>How do we unit test a WCF service when authorization checks are all over the place like this and we don't have an OperationContext in the unit test!? (Assuming I'm tryin to test this service class implementation directly without any of the WCF setup).</p></li> </ol> <p>Any ideas guys?</p>,c#|.net|wcf|authorization
304451,How to cleanly reuse edit / new views in Asp.NET MVC,<p>I'm trying to avoid code like this when reusing the same ViewUserControl in ASP.NET MVC. Any suggestions?</p> <pre><code>&lt;% if (ViewContext.ViewData[ editMode ].ToString() == edit ){ %&gt; &lt;%= Html.SubmitButton( submit  Update Brand )%&gt;&lt;span class= or &gt;Or&lt;/span&gt;&lt;a href= # class= cancel &gt;Cancel&lt;/a&gt; &lt;% } else { %&gt; &lt;%= Html.SubmitButton( submit  Create New Brand )%&gt;&lt;span class= or &gt;Or&lt;/span&gt;&lt;a href= # class= cancel &gt;Cancel&lt;/a&gt; &lt;%} %&gt; </code></pre> <p>And ...</p> <pre><code>&lt;% if (ViewContext.ViewData[ editMode ].ToString() == edit ){ %&gt; &lt;h1 class= edit &gt;Edit Brand Details&lt;/h1&gt; &lt;% } else { %&gt; &lt;h1 class= create &gt;Create A New Brand&lt;/h1&gt; &lt;%} %&gt; </code></pre>,.net|asp.net-mvc
175103,Regex to match URL end-of-line or / character,<p>I have a <a href= http://en.wikipedia.org/wiki/Uniform_resource_locator >URL</a> and I'm trying to match it to a regular expression to pull out some groups. The problem I'm having is that the URL can either end <em>or</em> continue with a / and more URL text. I'd like to match URLs like this:</p> <ul> <li><a href= http://server/xyz/2008-10-08-4 >http://server/xyz/2008-10-08-4</a></li> <li><a href= http://server/xyz/2008-10-08-4/ >http://server/xyz/2008-10-08-4/</a></li> <li><a href= http://server/xyz/2008-10-08-4/123/more >http://server/xyz/2008-10-08-4/123/more</a></li> </ul> <p>But not match something like this:</p> <ul> <li><a href= http://server/xyz/2008-10-08-4-1 >http://server/xyz/2008-10-08-4-1</a></li> </ul> <p>So I thought my best bet was something like this: </p> <pre><code>/(.+)/(\d{4}-\d{2}-\d{2})-(\d+)[/$] </code></pre> <p>where the character class at the end contained either the / or the end-of-line. The character class doesn't seem to be happy with the $ in there though. How can I best discriminate between these URLs while still pulling back the correct groups?</p>,regex
273908,c++ integer->std::string conversion. Simple function?,<p>Problem: I have an integer; this integer needs to be converted to a stl::string type. </p> <p>In the past I've used <code>stringstream</code> to do a conversion and that's just kind of cumbersome. I know the C way is to do a <code>sprintf</code> but I'd much rather do a C++ method that is typesafe(er).</p> <p>Is there a better way to do this? </p> <p>Here is the stringstream approach I have used in the past:</p> <pre><code>std::string intToString(int i) { std::stringstream ss; std::string s; ss &lt;&lt; i; s = ss.str(); return s; } </code></pre> <p>Of course this could be rewritten as so:</p> <pre><code>template&lt;class T&gt; std::string t_to_string(T i) { std::stringstream ss; std::string s; ss &lt;&lt; i; s = ss.str(); return s; } </code></pre> <p>However I have the notion that this is a fairly 'heavy-weight' implementation.</p> <p>Zan noted that the invocation is pretty nice however:</p> <pre><code>std::string s = t_to_string(my_integer); </code></pre> <p>At any rate a nicer way would be... nice. </p> <blockquote> <h3>Related:</h3> <p><a href= http://stackoverflow.com/questions/228005/alternative-to-itoa-for-converting-integer-to-string-c >Alternative to itoa() for converting integer to string C++?</a> </p> </blockquote>,c++|integer|stdstring
477314,How can I see all items checked out by other users in TFS?,<p>I want a list of all the checked out files by all users in a project in TFS 2005. All I can see now are <em>my</em> checked out files - in the pending changes window. I remember that in Source Safe there was such an option - is there one in TFS 2005?</p>,tfs
418308,What does the '#' symbol mean in a UML class diagram?,<p>I was reading Algorithms in a Nutshell (O'Reilly) and came across this symbol in a class diagram. My guess is that it means the member is protected but I wanted to see if anyone knows for sure what it means.</p>,uml
432603,Filesystem seek performance with lots of tiny files,<p>I'm looking to build a server with lots of tiny files delivered by an XML API. It won't be doing a whole lot of iterating over directories or blocks of sequential files--we're talking lots and lots of seeks for discontinuous data.</p> <p>Will seek time on BSD UFS degrade over time for requests for individual files? I understand that the filesystem's inode limit is based on the size of the partition/slice but the hard drive has to step through the inode table for every file request before it can discover the location of the data. What filesystem yields the best performance for seek time?</p> <p>The alternative is to setup 2-4GB blob files and have a separate system of seeking a file contained in them from within the software. The software's inode table could be optimized for delivery based on currently logged in user etc... These inode tables would likely be cached in RAM and would only relate to the users currently logged in so that there are fewer wasted resources.</p> <p>Where do these two solutions rate on a scalability and maintenance standpoint? What sort of performance gains if any could I expect by using the second solution?</p>,performance|filesystems|scalability|freebsd
186572,Retriving date in sql server CURRENT_TIMESTAMP vs GetDate(),<p>Using SQL Server - which is the fastest or best practice method to use for date retrieval? Is there a difference?</p>,sql-server|getdate
282670,Easiest way to sort DOM nodes?,<p>If I have a list like this:</p> <pre><code>&lt;ul id= mylist &gt; &lt;li id= list-item1 &gt;text 1&lt;/li&gt; &lt;li id= list-item2 &gt;text 2&lt;/li&gt; &lt;li id= list-item3 &gt;text 3&lt;/li&gt; &lt;li id= list-item4 &gt;text 4&lt;/li&gt; &lt;/ul&gt; </code></pre> <p>What's the easiest way to re-arrange the DOM nodes to my preference? (This needs to happen automatically when the page loads the list-order preference is gained from a cookie)</p> <p>E.g.</p> <pre><code>&lt;ul id= mylist &gt; &lt;li id= list-item3 &gt;text 3&lt;/li&gt; &lt;li id= list-item4 &gt;text 4&lt;/li&gt; &lt;li id= list-item2 &gt;text 2&lt;/li&gt; &lt;li id= list-item1 &gt;text 1&lt;/li&gt; &lt;/ul&gt; </code></pre>,javascript|dom
278031,Best way store a date/time for different timezones,<p>What's the best way to store timezone information with dates/times in a uniform way so people can enter times from anywhere in the world in their own local time? Other users would then have the ability to view the times in their own local time and the original localtime on the web page.</p>,mysql
656098,ASP.net RequiredFieldValidator not preventing postback,<p>I have a question about what could stop a RequiredFieldValidator from preventing a postback.</p> <p>I began working on an older but simple aspx form and my predecessor used manual server-side form validation (checking to see if some form fields have a value and if not displaying an error message in a label). I thought I'd clean out some unneeded code and replace the manual checking with RequiredFieldValidator controls but while they appear to be validating they aren't preventing a postback. Ie. I get my error messages displayed but the postback still occurs. </p> <p>The form is quite simple and there are no CausesValidation= false attributes set. My controls look like:</p> <pre><code> &lt;asp:TextBox ID= txtPhone Runat= server Columns= 20 MaxLength= 20 /&gt; &lt;asp:RequiredFieldValidator ID= rfvPhone runat= server Display= Dynamic ErrorMessage= * Required ControlToValidate= txtPhone /&gt; </code></pre> <p>I created a brand new webform in the same project with just a single textbox validator and submit button and it acts the same way. Error message displays but postback still occurs.</p> <p>Is there a global or project-wide setting that would cause this behaviour? Something in the web.config or global.asax?</p>,asp.net|validation
339199,C# Syntax - Example of a Lambda Expression - ForEach() over Generic List,<p>First I know there are methods off of the generic <code>List&lt;&gt;</code> class already in the framework do iterate over the <code>List&lt;&gt;</code>.</p> <p>But as an example what is the correct syntax to write a ForEach method to iterate over each object of a <code>List&lt;&gt;</code> and do a <code>Console.WriteLine(object.ToString())</code> on each object. Something that takes the <code>List&lt;&gt;</code> as the first argument and the lambda expression as the second argument.</p> <p>Most of the examples I have seen are done as extension methods or involve LINQ. I'm looking for a plain-old method example.</p>,c#|.net|syntax|lambda
